Pathway,Grade 9,Grade 10,Grade 11,Grade 12
Geometry Start,Algebra 2 CP; Algebra 2 Honors,Pre Calculus CP; Pre Calculus Honors; AP Pre Calculus; AP Pre Calculus & Intro to Calc BC,Calculus CP; AP Calculus AB; AP Calculus BC,4th Year Math Elective
Algebra 1 Start,Geometry CP; Geometry Honors,Algebra 2 CP; Algebra 2 Honors,Pre Calculus CP; Pre Calculus Honors; AP Pre Calculus; AP Pre Calculus & Intro to Calc BC,Calculus CP; AP Calculus AB; AP Calculus BC
Intro to Algebra & Geometry,Algebra 1 CP; Algebra 1 Honors,Geometry CP AND Algebra 2 CP (May double),Pre Calculus CP; Pre Calculus Honors; AP Pre Calculus,Calculus CP; Pre Calculus Honors; AP Pre Calculus; Data Science Principles
Intro to Algebra & Geometry,Algebra 1 CP; Algebra 1 Lab CP,Geometry CP; Geometry Lab CP,Algebra 2 CP; Algebra 2 Lab CP,Pre Calculus CP; Pre Calculus Honors; AP Pre Calculus; College Algebra/Trigonometry; Data Science Principles
Math 8,General Algebra 1 Lab (S1) & General Algebra 1 (S2),Geometry Lab CP,Intermediate Algebra CP; Algebra 2 Lab CP,College Math Seminar; Data Science Principles
Math 8,General Algebra 1 Lab (S1) & General Algebra 1 (S2),General Geometry,General Intermediate Algebra,Applications of Mathematics
Math 8,General Algebra 1 Lab (S1) & General Algebra 1 (S2),General Geometry,General Intermediate Algebra
